Title,Rating,Year,Actors,Runtime
Aloko Udapadi,9.6,2017,"('Uddika Premarathna', 'Dilhani Ekanayake', 'Roshan Ravindra', 'Menaka Peiris')",113 min
Dag II,9.3,2016,"('Ozan Agaç', 'Bedii Akin', 'Murat Arkin', 'Eylül Arular')",135 min
Aynabaji,9.3,2016,"('Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Bijori Barkatullah', 'Partho Barua')",147 min
Wheels,9.3,2014,"('Donavon Warren', 'Patrick Hume', 'Diana Gettinger', 'Kevin McCorkle')",115 min
The Dark Knight,9.0,2008,"('Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine')",152 min
Ayla: The Daughter of War,8.8,2017,"('Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol')",125 min
Vikram Vedha,8.8,2017,"('Madhavan', 'Vijay Sethupathi', 'Varalaxmi Sarathkumar', 'Shraddha Srinath')",147 min
Aruvi,8.8,2016,"('Aditi Balan', 'Padmashri Mohammad Ali', 'Pradeep Anthony', 'Arnold')",130 min
Drishyam,8.8,2013,"('Mohanlal', 'Meena', 'Ansiba', 'Esther')",160 min
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"('Ramin Karimloo', 'Sierra Boggess', 'Hadley Fraser', 'Wendy Ferguson')",137 min
Inception,8.8,2010,"('Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Ken Watanabe')",148 min
Interstellar,8.6,2014,"('Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy')",169 min
Arjun Reddy,8.5,2017,"('Vijay Deverakonda', 'Shalini Pandey', 'Amit Sharma', 'Rahul Ramakrishna')",182 min
Dhuruvangal Pathinaaru,8.5,2016,"('Rahman', 'Prakash Raghavan', 'Sharath Kumar', 'Santhosh Krishna')",105 min
Dangal,8.5,2016,"('Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra')",161 min
Thani Oruvan,8.5,2015,"('Jayam Ravi', 'Arvind Swamy', 'Nayanthara', 'Nassar')",160 min
RangiTaranga,8.5,2015,"('Nirup Bhandari', 'Radhika Chetan', 'Avantika Shetty', 'Sai Kumar')",149 min
Whiplash,8.5,2014,"('Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser')",106 min
The Intouchables,8.5,2011,"('François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot')",112 min
Kiborgy. Heroyi ne vmyrayut,8.4,2017,"('Vyacheslav Dovzhenko', 'Roman Yasinovsky', 'Andrey Isaenko', 'Viktor Zhdanov')",112 min
Sairat,8.4,2016,"('Rinku Rajguru', 'Akash Thosar', 'Arbaz Shaikh', 'Tanaji Galgunde')",174 min
Kimi no na wa.,8.4,2016,"('Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki')",106 min
Jigarthanda,8.4,2014,"('Siddharth', 'Bobby Simha', 'Lakshmi Menon', 'Nassar')",171 min
Ulidavaru Kandanthe,8.4,2014,"('Kishore Kumar G.', 'Rakshit Shetty', 'Thara', 'Achyuth Kumar')",154 min
Soodhu Kavvum,8.4,2013,"('Vijay Sethupathi', 'Sanchita Shetty', 'Radha Ravi', 'M.S. Bhaskar')",135 min
Coco,8.4,2017,"('Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach')",105 min
Lucia,8.4,2013,"('Sathish Neenasam', 'Sruthi Hariharan', 'Achyuth Kumar', 'Sabreen Baker')",135 min
Vishwaroopam,8.4,2013,"('Pooja Kumar', 'Miles Anderson', 'Kamal Haasan', 'Rahul Bose')",148 min
Django Unchained,8.4,2012,"('Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington')",165 min
The Dark Knight Rises,8.4,2012,"('Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman')",164 min
3 Idiots,8.4,2009,"('Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi')",170 min
WALL·E,8.4,2008,"('Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard')",98 min
Theeran Adhigaaram Ondru,8.3,2017,"('Karthi', 'Rakul Preet Singh', 'Abhimanyu Singh', 'Bose Venkat')",157 min
Abad va yek rooz,8.3,2016,"('Payman Maadi', 'Navid Mohammadzadeh', 'Parinaz Izadyar', 'Shabnam Moghadami')",95 min
Baahubali 2: The Conclusion,8.3,2017,"('Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia')",167 min
Premam,8.3,2015,"('Nivin Pauly', 'Sai Pallavi', 'Madonna Sebastian', 'Anupama Parameshwaran')",156 min
Drishyam,8.3,2015,"('Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor')",163 min
Chaar Sahibzaade,8.3,2014,"('Om Puri', 'Harman Baweja', 'Nazriya Nazim', 'Nivin Pauly')",135 min
Bangalore Days,8.3,2014,"('Dulquer Salmaan', 'Fahadh Faasil', 'Mahesh Babu', 'Kriti Sanon')",171 min
It's Such a Beautiful Day,8.3,2012,"('Nassar', 'Pradeep Singh Rawat', 'Dulquer Salmaan', 'Thilakan')",62 min
1 - Nenokkadine,8.3,2014,"('Siddique', 'Nithya Menon', 'Rajkummar Rao', 'Mohammed Zeeshan Ayyub')",170 min
Ustad Hotel,8.3,2012,"('Baljinder Kaur', 'Tigmanshu Dhulia', 'Mads Mikkelsen', 'Thomas Bo Larsen')",151 min
Shahid,8.3,2012,"('Annika Wedderkopp', 'Lasse Fogelstrøm', 'Humaima Malik', 'Manzar Sehbai')",129 min
Jagten,8.3,2012,"('Shafqat Cheema', 'Iman Ali', 'Payman Maadi', 'Leila Hatami')",115 min
Bol,8.3,2011,"('Sareh Bayat', 'Shahab Hosseini', 'Milos Bikovic', 'Petar Strugar')",165 min
Jodaeiye Nader az Simin,8.3,2011,"('Armand Assante', 'Viktor Savic', 'Milos Bikovic', 'Petar Strugar')",123 min
"Montevideo, vidimo se!",8.3,2014,"('Nina Jankovic', 'Danina Jeftic', 'Edward Asner', 'Jordan Nagai')",141 min
"Montevideo, Bog te video!",8.3,2010,"('John Ratzenberger', 'Christopher Plummer', 'Tom Hanks', 'Tim Allen')",140 min
Up,8.3,2009,"('Joan Cusack', 'Ned Beatty', 'Uddika Premarathna', 'Dilhani Ekanayake')",96 min
Toy Story 3,8.3,2010,"('Roshan Ravindra', 'Menaka Peiris', 'Ozan Agaç', 'Bedii Akin')",103 min
Aloko Udapadi,9.6,2017,"('Murat Arkin', 'Eylül Arular', 'Chanchal Chowdhury', 'Masuma Rahman Nabila')",113 min
Dag II,9.3,2016,"('Bijori Barkatullah', 'Partho Barua', 'Donavon Warren', 'Patrick Hume')",135 min
Aynabaji,9.3,2016,"('Diana Gettinger', 'Kevin McCorkle', 'Christian Bale', 'Heath Ledger')",147 min
Wheels,9.3,2014,"('Aaron Eckhart', 'Michael Caine', 'Çetin Tekindor', 'Ismail Hacioglu')",115 min
The Dark Knight,9.0,2008,"('Kyung-jin Lee', 'Kim Seol', 'Madhavan', 'Vijay Sethupathi')",152 min
Ayla: The Daughter of War,8.8,2017,"('Varalaxmi Sarathkumar', 'Shraddha Srinath', 'Aditi Balan', 'Padmashri Mohammad Ali')",125 min
Vikram Vedha,8.8,2017,"('Pradeep Anthony', 'Arnold', 'Mohanlal', 'Meena')",147 min
Aruvi,8.8,2016,"('Ansiba', 'Esther', 'Ramin Karimloo', 'Sierra Boggess')",130 min
Drishyam,8.8,2013,"('Hadley Fraser', 'Wendy Ferguson', 'Leonardo DiCaprio', 'Joseph Gordon-Levitt')",160 min
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"('Ellen Page', 'Ken Watanabe', 'Matthew McConaughey', 'Anne Hathaway')",137 min
Inception,8.8,2010,"('Jessica Chastain', 'Mackenzie Foy', 'Vijay Deverakonda', 'Shalini Pandey')",148 min
Interstellar,8.6,2014,"('Amit Sharma', 'Rahul Ramakrishna', 'Rahman', 'Prakash Raghavan')",169 min
Arjun Reddy,8.5,2017,"('Sharath Kumar', 'Santhosh Krishna', 'Aamir Khan', 'Sakshi Tanwar')",182 min
Dhuruvangal Pathinaaru,8.5,2016,"('Fatima Sana Shaikh', 'Sanya Malhotra', 'Jayam Ravi', 'Arvind Swamy')",105 min
Dangal,8.5,2016,"('Nayanthara', 'Nassar', 'Nirup Bhandari', 'Radhika Chetan')",161 min
Thani Oruvan,8.5,2015,"('Avantika Shetty', 'Sai Kumar', 'Miles Teller', 'J.K. Simmons')",160 min
RangiTaranga,8.5,2015,"('Melissa Benoist', 'Paul Reiser', 'François Cluzet', 'Omar Sy')",149 min
Whiplash,8.5,2014,"('Anne Le Ny', 'Audrey Fleurot', 'Vyacheslav Dovzhenko', 'Roman Yasinovsky')",106 min
The Intouchables,8.5,2011,"('Andrey Isaenko', 'Viktor Zhdanov', 'Rinku Rajguru', 'Akash Thosar')",112 min
Kiborgy. Heroyi ne vmyrayut,8.4,2017,"('Arbaz Shaikh', 'Tanaji Galgunde', 'Ryûnosuke Kamiki', 'Mone Kamishiraishi')",112 min
Sairat,8.4,2016,"('Ryô Narita', 'Aoi Yûki', 'Siddharth', 'Bobby Simha')",174 min
Kimi no na wa.,8.4,2016,"('Lakshmi Menon', 'Nassar', 'Kishore Kumar G.', 'Rakshit Shetty')",106 min
Jigarthanda,8.4,2014,"('Thara', 'Achyuth Kumar', 'Vijay Sethupathi', 'Sanchita Shetty')",171 min
Ulidavaru Kandanthe,8.4,2014,"('Radha Ravi', 'M.S. Bhaskar', 'Anthony Gonzalez', 'Gael García Bernal')",154 min
Soodhu Kavvum,8.4,2013,"('Benjamin Bratt', 'Alanna Ubach', 'Sathish Neenasam', 'Sruthi Hariharan')",135 min
Coco,8.4,2017,"('Achyuth Kumar', 'Sabreen Baker', 'Pooja Kumar', 'Miles Anderson')",105 min
Lucia,8.4,2013,"('Kamal Haasan', 'Rahul Bose', 'Jamie Foxx', 'Christoph Waltz')",135 min
Vishwaroopam,8.4,2013,"('Leonardo DiCaprio', 'Kerry Washington', 'Christian Bale', 'Tom Hardy')",148 min
Django Unchained,8.4,2012,"('Anne Hathaway', 'Gary Oldman', 'Aamir Khan', 'Madhavan')",165 min
The Dark Knight Rises,8.4,2012,"('Mona Singh', 'Sharman Joshi', 'Ben Burtt', 'Elissa Knight')",164 min
3 Idiots,8.4,2009,"('Jeff Garlin', 'Fred Willard', 'Karthi', 'Rakul Preet Singh')",170 min
WALL·E,8.4,2008,"('Abhimanyu Singh', 'Bose Venkat', 'Payman Maadi', 'Navid Mohammadzadeh')",98 min
Theeran Adhigaaram Ondru,8.3,2017,"('Parinaz Izadyar', 'Shabnam Moghadami', 'Prabhas', 'Rana Daggubati')",157 min
Abad va yek rooz,8.3,2016,"('Anushka Shetty', 'Tamannaah Bhatia', 'Nivin Pauly', 'Sai Pallavi')",95 min
Baahubali 2: The Conclusion,8.3,2017,"('Madonna Sebastian', 'Anupama Parameshwaran', 'Ajay Devgn', 'Shriya Saran')",167 min
Premam,8.3,2015,"('Tabu', 'Rajat Kapoor', 'Om Puri', 'Harman Baweja')",156 min
Drishyam,8.3,2015,"('Nazriya Nazim', 'Nivin Pauly', 'Dulquer Salmaan', 'Fahadh Faasil')",163 min
Chaar Sahibzaade,8.3,2014,"('Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat')",135 min
Bangalore Days,8.3,2014,"('Dulquer Salmaan', 'Thilakan', 'Siddique', 'Nithya Menon')",171 min
It's Such a Beautiful Day,8.3,2012,"('Rajkummar Rao', 'Mohammed Zeeshan Ayyub', 'Baljinder Kaur', 'Tigmanshu Dhulia')",62 min
1 - Nenokkadine,8.3,2014,"('Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm')",170 min
Ustad Hotel,8.3,2012,"('Humaima Malik', 'Manzar Sehbai', 'Shafqat Cheema', 'Iman Ali')",151 min
Shahid,8.3,2012,"('Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini')",129 min
Jagten,8.3,2012,"('Milos Bikovic', 'Petar Strugar', 'Armand Assante', 'Viktor Savic')",115 min
Bol,8.3,2011,"('Milos Bikovic', 'Petar Strugar', 'Nina Jankovic', 'Danina Jeftic')",165 min
Jodaeiye Nader az Simin,8.3,2011,"('Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer')",123 min
"Montevideo, vidimo se!",8.3,2014,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",141 min
"Montevideo, Bog te video!",8.3,2010,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",140 min
Up,8.3,2009,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",96 min
Toy Story 3,8.3,2010,"('Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty')",103 min
